time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.28100289676e-07,1.04763405671e-07,10.0061511828,6.28274622487,0.000271232316253,0.0,-2.83628073189e-05,-1.41196969075e-05,0.205024249712,-0.0289277738505,0.0123011228858,0.0,468.7978695998552,469.7524832983061,469.930117554819,467.68287573638366
0.12000000000000001,-1.11696443707e-05,-1.75096371597e-05,10.0227624948,6.28092076354,0.00118457500939,0.0,-0.0004231827818,-0.000765947102571,0.348652316917,-0.0335987815052,0.0205039466295,0.0,450.84321212932525,451.5052739997011,450.1976572439255,449.81932262273557
0.18,-7.00024874926e-05,-0.000125927613203,10.0496972722,6.27888750426,0.00242171579162,0.0,-0.00168200556763,-0.00308442070624,0.549097351017,-0.0344716300328,0.0208481385412,0.0,467.0767641439989,467.1035642492358,468.6305408373375,468.56229725223204
0.23999999999999996,-0.000219471296365,-0.000396583721938,10.083276687,6.27685960273,0.00369231997823,0.0,-0.00341414657685,-0.00612236542728,0.570204743574,-0.0324849892158,0.0218258992923,0.0,410.81125975292485,410.8979734349424,411.92501324383915,412.10006708993495
0.3,-0.000517276450378,-0.000918903968032,10.1229969031,6.27480039638,0.00605552466535,0.0,-0.00673726086376,-0.0115165062672,0.753696470375,-0.0382682395975,0.0614311994241,0.0,461.3141992591428,464.43115771611394,463.3621336648989,462.9068882126559
0.36000000000000004,-0.00106413993162,-0.00179507496221,10.1715748816,6.27244877505,0.0104784555491,0.0,-0.0119192156085,-0.017929509875,0.865485577808,-0.0411114644082,0.0909916110582,0.0,440.566341301786,443.0073728798944,440.8039752926357,440.56820346077194
0.4200000000000001,-0.00200008007771,-0.00308591666216,10.2250610783,6.27000997772,0.0159303016339,0.0,-0.0197959715738,-0.0253307263876,0.917337923719,-0.0397330235629,0.0906080406004,0.0,423.27289705950045,423.24727037682504,420.98607337176526,421.1043513181958
0.48000000000000015,-0.00354230557845,-0.0048907570786,10.2833649218,6.26736913391,0.0214304763923,0.0,-0.0321749447381,-0.0350869185209,1.02601789129,-0.0543547975068,0.0937109233027,0.0,439.71249296564173,439.97659533662915,441.8941388871896,440.6861474128189
0.5400000000000001,-0.00606788143511,-0.00742897862681,10.3536901464,6.26466177016,0.0277314009349,0.0,-0.0527901342389,-0.0498987186275,1.31784082505,-0.0311504781716,0.121276961348,0.0,493.70179766097027,495.73934431938324,494.81870809307816,496.5226957926547
0.6000000000000002,-0.00990224091232,-0.0108556154141,10.4380315828,6.26282071787,0.0348019409168,0.0,-0.0758288158586,-0.0645279957086,1.4932977774,-0.0297677553444,0.109902067581,0.0,462.2372877461488,461.3519421842172,462.30398622981187,462.412636957837
0.6600000000000003,-0.0153121137138,-0.0152208431068,10.533813625,6.26102400911,0.0418985473885,0.0,-0.105300092719,-0.0811839505174,1.69911728321,-0.0303022473984,0.131224135787,0.0,471.2701031536212,472.9265778667761,471.2128864586276,471.1713422541166
0.7200000000000003,-0.0225096363803,-0.0205480831058,10.6383699954,6.25908216102,0.049742473613,0.0,-0.135398054907,-0.0965747833838,1.78592080819,-0.036843624969,0.129730519464,0.0,435.873045563011,435.7642620772225,436.1013270494537,435.55420988520456
0.7800000000000004,-0.0318683736211,-0.0269335344717,10.7519634735,6.25677398109,0.0575213525642,0.0,-0.177467308586,-0.116532254408,2.0001183344,-0.0419371058683,0.129482572021,0.0,475.1618041634692,475.1570006546964,475.3840254608389,474.992976292698
0.8400000000000004,-0.0437565092079,-0.0344899211095,10.875299312,6.254115172,0.0658225319568,0.0,-0.219629105828,-0.135608183208,2.11081372624,-0.0495473278791,0.151892076547,0.0,445.5500794966051,447.39563028947134,443.1694937847781,442.54241305342214
0.9000000000000005,-0.0584227038221,-0.0432785416983,11.0062896564,6.25102671546,0.0750259764384,0.0,-0.270220256622,-0.157664324283,2.25516897893,-0.0556355770672,0.156227739661,0.0,455.2764966159622,455.6448033343263,456.15486982183234,455.66680923957335
0.9600000000000005,-0.0762326687435,-0.0534183671426,11.1446765379,6.24788506582,0.0849500777389,0.0,-0.32442173233,-0.180651312564,2.35741985461,-0.0465079062928,0.179294537583,0.0,442.8686179274188,444.78744094326424,442.5711851800578,443.31997595699943
1.0200000000000005,-0.0975248128032,-0.0650070884626,11.2894032642,6.2458550683,0.0955088646343,0.0,-0.386399153706,-0.205868774528,2.46645145245,-0.0161624653322,0.168365675991,0.0,446.8212545050032,445.95902740188126,444.77327715653615,447.2509102787437
1.0800000000000005,-0.122854682708,-0.0781829547547,11.4416726087,6.24505830308,0.105768786831,0.0,-0.459002074863,-0.233405978804,2.60874365486,-0.00806048357957,0.175797416494,0.0,455.77887709340075,456.3996050260312,458.1185325762341,458.7624001418712
1.1400000000000006,-0.152534462626,-0.0929435570047,11.6002956109,6.24433196623,0.115825676839,0.0,-0.531321147818,-0.25866131336,2.67838929806,-0.0217595539835,0.141449839268,0.0,436.1861747073937,433.3348776591848,436.6414232333254,435.4971921945234
1.2000000000000006,-0.187170980355,-0.10937654424,11.7666851235,6.24358942457,0.124157245344,0.0,-0.624145129836,-0.289195089147,2.86731641502,0.00177570142593,0.133104752899,0.0,472.26734933211543,471.63987247492804,473.00499034396654,474.8140686587459
1.2600000000000007,-0.227640064328,-0.12767421894,11.9449384474,6.24414375501,0.132022698339,0.0,-0.725690951583,-0.320659112601,3.07376615446,0.0210648450817,0.126728934056,0.0,480.3988282459318,479.92948749204015,477.80423880974445,479.2724432693742
